Macrotrends Data Download

U.K. Maternal Mortality Rate 2000-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Live Births, Annual % Change, 
2000-12-31,10
2001-12-31,11,10
2002-12-31,11,0
2003-12-31,11,0
2004-12-31,11,0
2005-12-31,11,0
2006-12-31,11,0
2007-12-31,11,0
2008-12-31,11,0
2009-12-31,10,-9.09
2010-12-31,10,0
2011-12-31,9,-10
2012-12-31,8,-11.11
2013-12-31,8,0
2014-12-31,8,0
2015-12-31,8,0
2016-12-31,7,-12.5
2017-12-31,7,0
